,Unnamed: 0,City Name,City Country,City ID,City Lat,City Long,Temps (F),Humidity %,Cloudiness %,Windspeed (mph),City Datetime
40,40,omboue,GA,2396853,-1.57,9.26,75.36,95,0,0.49,1580179242
135,135,general roca,AR,3855065,-39.03,-67.58,73.4,53,0,6.22,1580179902
254,254,beloha,MG,1067565,-25.17,45.05,70.63,94,0,4.36,1580179979
270,270,jardim,BR,3460087,-21.48,-56.14,75.2,65,0,4.47,1580179989
290,290,ahipara,NZ,2194098,-35.17,173.17,81.0,71,0,1.99,1580179722
303,303,campo verde,BR,3467673,-20.42,-54.07,75.2,88,0,3.36,1580180011
346,346,cabo rojo,PR,4562996,18.09,-67.15,78.01,77,0,4.45,1580180037
396,396,puerto colombia,CO,3671497,10.99,-74.95,80.6,78,0,9.17,1580180069
399,399,ampanihy,MG,1078553,-24.7,44.75,71.85,93,0,4.43,1580180071
482,482,nioro,GM,2412408,13.35,-15.75,71.55,11,0,0.81,1580180122
529,529,calamar,CO,3687972,10.25,-74.91,80.6,83,0,9.17,1580180154
536,536,gisborne,NZ,2206854,-38.65,178.0,86.31,34,0,4.7,1580180158
549,549,ambulu,ID,1621313,-8.35,113.61,82.35,80,0,5.06,1580180167
566,566,arenal,CO,3689653,8.46,-73.94,76.24,80,0,3.6,1580180178
638,638,upata,VE,3625710,8.01,-62.4,72.64,88,0,4.38,1580180224
642,642,te karaka,NZ,2184772,-38.47,177.87,86.31,34,0,4.7,1580180227
