,Unnamed: 0,City Name,City Country,City ID,City Lat,City Long,Temps (F),Humidity %,Cloudiness %,Windspeed (mph),City Datetime,Hotel Name
42,42,san patricio,MX,3985168,19.22,-104.7,76.05,63,0,4.29,1580268930,Grand Isla Navidad Resort
238,238,san policarpo,PH,1688696,12.18,125.51,80.83,76,0,2.55,1580269218,Bahay ni Singkit
306,306,hukuntsi,BW,933726,-24.0,21.75,70.7,38,0,7.54,1580269262,SHI Hotel
394,394,panaba,MX,3521972,21.28,-88.27,73.98,84,0,8.01,1580269320,Hotel Roazi
400,400,sompeta,IN,1255816,18.93,84.6,75.33,77,0,5.32,1580269325,Haritha Beach Resort
434,434,inhambane,MZ,1045114,-23.86,35.38,75.56,64,0,6.11,1580269107,Sentidos Beach Retreat
521,521,sorada,IN,1255712,19.75,84.43,75.27,71,0,1.21,1580269403,Jay jaganath famous hotel
526,526,cockburn town,TC,3576994,21.46,-71.14,77.67,70,0,8.41,1580269393,Osprey Beach Hotel
610,610,conakry,GN,2422465,9.54,-13.68,75.13,88,0,7.58,1580269460,Sheraton Grand Conakry
652,652,mount gambier,AU,2156643,-37.83,140.77,89.6,17,0,9.17,1580269485,Quality Inn Presidential
